wav_filename,wav_filesize,transcript
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ21.wav,299844,we've resolved to fight this disease 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ6.wav,358368,it's the little things like putting a cup on a saucer 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ14.wav,281184,it's not as just a pure scientific thing 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ4.wav,307612,so how was the reaction of your family 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ2.wav,519000,i soon learned that each patient has their own version of parkinson's their own story to tell 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ20.wav,500344,we face parkinson's headon with purpose reexamined and new dreams to pursue 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ9.wav,414456,so much of what you do is precise and about balance 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ22.wav,323620,we may each have our own individual parkinson's 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ16.wav,248048,acceptance doesn't mean resignation 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ8.wav,273224,and you you dream on your way 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ15.wav,272312,you're in the pharmaceutical business 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ23.wav,467884,but we all share one thing in common hope 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ11.wav,260724,it seems like it confers all that out of the window 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ19.wav,311756,the cure may seem elusive but we're not giving up 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ13.wav,300380,if you're symptomatic it's reflective of some kind of flaw 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ17.wav,364348,you can accept it and then endeavor to change it 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ18.wav,382704,there are over one million people living with parkinson's in the united states 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ1.wav,353288,i was twenty nine when i found out i had parkinson's disease 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ7.wav,203540,it destroyed me 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ12.wav,380904,when she get past the idea that you did something to deserve this or that 
